OM,latitude,longitude,Endereços
IPqM,-22.820754,-43.1875794,"02, Rua Ipiru, Cacuia, Rio de Janeiro, Rio de Janeiro, Brazil, 21931-095, "
CPBA,-12.9749626,-38.5153604,"1-193, Avenida das Naus, Comercio, Salvador, Bahia, Brazil, 40015-270, "
BFLa,-19.004394,-57.5985504,"1, Avenida 14 de Março, Centro, Ladário, Mato Grosso do Sul, Brazil, 79370-000, "
DelItacuruca,-22.9303547,-43.9102901,"1, Praça Marcílio Dias, Itacuruçá, Mangaratiba, Rio de Janeiro, Brazil, 23860-000, "
AgCaceres,-16.063539,-57.68845229999999,"1, Rua Professor Rizo, Centro, Cáceres, Mato Grosso, Brazil, 78200-000, "
AgPMurtinho,-21.7019923,-57.89154119999999,"1011, Rua Coronel Pedro Celestino, Centro, Porto Murtinho, Mato Grosso do Sul, Brazil, 79280-000, "
COMRJ,-22.833271,-43.2615699,"10500, Avenida Brasil, Olaria, Rio de Janeiro, Rio de Janeiro, Brazil, 21012-350, "
CIANB,-22.8354238,-43.259803,"10500, Avenida Brasil, Olaria, Rio de Janeiro, Rio de Janeiro, Brazil, 21012-351, "
CCIM,-22.8342756,-43.260799,"10500, Avenida Brasil, Penha, Rio de Janeiro, Rio de Janeiro, Brazil, 21012-350, "
DelItajai,-26.9058456,-48.6539888,"1055, Avenida Prefeito Paulo Bauer, Centro, Itajaí, Santa Catarina, Brazil, 88301-020, "
CEFAN,-22.832152,-43.2645892,"10590, Avenida Brasil, Penha, Rio de Janeiro, Rio de Janeiro, Brazil, 21012-350, "
CMN,-22.829061,-43.2704159,"10592, Avenida Brasil, Penha, Rio de Janeiro, Rio de Janeiro, Brazil, 21012-350, "
BFNRM,-22.8038,-43.291839,"1060, Avenida Trevo das Missões, Cordovil, Duque de Caxias, Rio de Janeiro, Brazil, 25085, "
CIAA,-22.8270441,-43.2733548,"10946, Avenida Brasil, Penha, Rio de Janeiro, Rio de Janeiro, Brazil, 21012-350, "
ERMRG,-32.1433146,-52.1108342,"11, Rua Nova Onze, Industrial Tamandaré, Rio Grande, Rio Grande do Sul, Brazil, 96215-840, "
CFMG,-19.9677344,-43.9344123,"1100, Avenida Celso Porfírio Machado, Belvedere, Belo Horizonte, Minas Gerais, Brazil, 30320-400, "
AgCamocim,-2.9012558,-40.8431118,"113, Rua Doutor João Thomé, Camocim, Camocim, Ceará, Brazil, 62400-000, "
DEN,-22.8993831,-43.1770935,"118, Rua Primeiro de Março, Centro, Rio de Janeiro, Rio de Janeiro, Brazil, 20010-000, "
CCCPM,-22.8992088,-43.1796941,"11º andar, 39, Avenida Rio Branco, Centro, Rio de Janeiro, Rio de Janeiro, Brazil, 20040-009, "
AgABranca,-4.9562484,-37.1366742,"12, Rua João Félix, Centro, Areia Branca, Rio Grande do Norte, Brazil, 59655-000, "
GptFNNa,-5.7951049,-35.227678,"120-138, Rua Marcílio Dias, Quintas, Natal, Rio Grande do Norte, Brazil, 59040-000, "
HNRe,-8.0462435,-34.87537,"1200, Avenida Cruz Cabugá, Santo Amaro, Recife, Pernambuco, Brazil, 50040-000, "
CN,-23.0146625,-44.32905400000001,"1234-1312, Avenida Marquês de Leão, Centro, Angra dos Reis, Rio de Janeiro, Brazil, 23900-070, "
DelAReis,-23.0100089,-44.32077940000001,"13, Avenida Almirante Júlio César de Noronha, Centro, Angra dos Reis, Rio de Janeiro, Brazil, 23900-010, "
HNLa,-19.0024902,-57.59763539999999,"13, Rua Almirante Frontin, Setor 1, Ladário, Mato Grosso do Sul, Brazil, 79370-000, "
AgCSul,-7.611614499999999,-72.6837259,"130, Rua José Soriano Silva, Formoso, Cruzeiro do Sul, Acre, Brazil, 69980-000, "
GptFNSa,-12.963583,-38.5075677,"1300, Avenida da França, Comercio, Salvador, Bahia, Brazil, 40010-000, "
CHN-4,-1.395941,-48.4883543,"133-189, Rua Almirante Dantas Torres, Val de Caes, Belém, Pará, Brazil, 66115-520, "
CTecCFN,-22.8091311,-43.29519699999999,"13476, Avenida Brasil, Parada de Lucas, Rio de Janeiro, Rio de Janeiro, Brazil, 21010-076, "
CAAML,-22.8144559,-43.2931275,"13476, Avenida Brasil, Parada de Lucas, Rio de Janeiro, Rio de Janeiro, Brazil, 21012-350, "
DelSFSul,-26.2447063,-48.63985940000001,"138, Rua Doutor Lauro Müller, Centro, São Francisco do Sul, Santa Catarina, Brazil, 89240-000, "
DelPEpitacio,-21.7588159,-52.1105119,"14-71, Rua Porto Alegre, Vila Santa Rosa, Presidente Epitácio, São Paulo, Brazil, 19470-000, "
HNSa,-12.9622038,-38.506391,"1400, Avenida da França, Comercio, Salvador, Bahia, Brazil, 40010-000, "
CFT,-4.2342883,-69.9420829,"143, Rua Duarte Coelho, Tabatinga, Amazonas, Brazil, 69640-000, "
PNSPA,-22.8241446,-42.0961936,"1447-1491, Rua Alberto Santos Dumont, Base Aeronaval, São Pedro da Aldeia, Rio de Janeiro, Brazil, 28940-000, "
CPES,-20.317392,-40.2986375,"145, Rua Belmiro Rodrigues da Silva, Enseada do Suá, Vitória, Espírito Santo, Brazil, 29050-435, "
AgPenedo,-10.2934713,-36.584215,"152, Avenida Duque de Caxias, Centro, Penedo, Alagoas, Brazil, 57200-000, "
CMM,-3.1302037,-60.02714169999999,"157, Rua José Clemente, Centro, Manaus, Amazonas, Brazil, 69010-070, "
ComFFE,-22.804636,-43.2904833,"168, Rua Silva Fernandes, Parque Duque, Duque de Caxias, Rio de Janeiro, Brazil, 25085-015, "
BtlEngFuzNav,-22.8045941,-43.290543,"168, Rua Silva Fernandes, Parque Duque, Duque de Caxias, Rio de Janeiro, Brazil, 25085-015, "
RPBOMI,51.4606449415749,-0.2147331302739987,170 UPPER RICHMOND ROAD - - 3º ANDAR - PUTNEY - LONDRES - - INGLATERRA - SW15 2SH
CFRP,-25.546879,-54.591119,"170, Rua Barão do Rio Branco, Centro, Foz do Iguaçu, Paraná, Brazil, 85851-310, "
CNBE,54.5259614,15.2551187,"170, UPPER RICHMOND ROAD - PUTNEY -LONDON - SW15 - 2SH - 170 - - PUTNEY - LONDRES - - INGLATERRA - "
ERMBe,-1.391905,-48.435001,"1766, Avenida Augusto Montenegro, Mangueirão, Belém, Pará, Brazil, 66623, "
AMAZUL,-23.5737825,-46.7317329,"1847, Avenida Corifeu de Azevedo Marques, Butantã, São Paulo, São Paulo, Brazil, 05581-001, "
HNMD,-22.9139074,-43.2833747,"185, Rua César Zama, Lins de Vasconcelos, Rio de Janeiro, Rio de Janeiro, Brazil, 20725-090, "
ESM,-22.9132419,-43.2843646,"185, Rua César Zama, Lins de Vasconcelos, Rio de Janeiro, Rio de Janeiro, Brazil, 20725-090, "
INPG,-22.8959502,-43.1784241,"19, Avenida Rodrigues Alves, Centro, Rio de Janeiro, Rio de Janeiro, Brazil, 20091, "
CFS,-2.4190798,-54.7274268,"1937, Avenida Tapajós, Aldeia, Santarém, Pará, Brazil, 68040-004, "
CPRS,-32.0310395,-52.0837677,"198, Rua Marechal Andréia, Vila Militar, Rio Grande, Rio Grande do Sul, Brazil, 96201-260, "
AgTramandai,-29.9783811,-50.1220603,"199, Avenida Beira Rio, Barra, Tramandaí, Rio Grande do Sul, Brazil, 95590-000, "
PEM,-22.8994204,-43.1768824,"1º, 2º e 3º, 114, Rua Primeiro de Março, Centro, Rio de Janeiro, Rio de Janeiro, Brazil, 20010-000, "
AgCaracaraí,1.802927,-61.13267019999999,"2-622, Avenida Doutor Zany, Caracaraí, Roraima, Brazil, 69360-000, "
CTMRJ,-22.8207105,-43.1875325,"2, Rua Ipiru, Cacuia, Rio de Janeiro, Rio de Janeiro, Brazil, 21931-090, "
HNBe,-1.4655121,-48.503187,"200, Rua Arsenal, Cidade Velha, Belém, Pará, Brazil, 66023-110, "
CeIMRG,-32.1404105,-52.1066019,"2000, Av. Avenida Almirante Maximiano da Fonseca, Barra Nova, Rio Grande, Rio Grande do Sul, Brazil, 96204-000, "
CPAP,-0.0545313,-51.16171440000001,"2000, Rua Cláudio Lúcio Monteiro, Remédios, Santana, Amapá, Brazil, 68927-003, "
PAPEM,-22.8969438,-43.1745864,"23, Rua da Ponte, Centro, Rio de Janeiro, Rio de Janeiro, Brazil, "
DelCFrio,-22.8761115,-42.0196659,"230, Rua Jorge Veiga, Gamboa, Cabo Frio, Rio de Janeiro, Brazil, 28922-030, "
CPRN,-5.7787654,-35.2071619,"232, Rua Chile, Ribeira, Natal, Rio Grande do Norte, Brazil, 59012-250, "
CIABA,-1.3707761,-48.47893,"245, Rodovia Arthur Bernardes, Pratinha (Icoaraci), Belém, Pará, Brazil, 66816-900, "
CTMSP,-23.5646488,-46.739159,"2468, Avenida Professor Lineu Prestes, Vila Universitaria, São Paulo, São Paulo, Brazil, 05508-000, "
CDSub,-23.5646488,-46.739159,"2468, Rua Cidade Universitária, Butantã, São Paulo, São Paulo, Brazil, 05508-000, "
CCEMSP,-23.5530143,-46.7292004,"2493-2547, Avenida Professor Mello Moraes, Butantã, São Paulo, São Paulo, Brazil, 05508-030, "
CPPE,-8.0600758,-34.8709605,"25, Rua de São Jorge, Recife, Recife, Pernambuco, Brazil, 50030-240, "
IEAPM,-22.9773425,-42.022118,"253, Rua Kioto, Praia dos Anjos, Arraial do Cabo, Rio de Janeiro, Brazil, 28930-000, "
DASM,-22.8843168,-43.3960481,"2554, Avenida Marechal Fontenele, Jardim Sulacap, Rio de Janeiro, Rio de Janeiro, Brazil, 21741, "
AgItacoatiara,-3.146491,-58.44616019999999,"262, Avenida Parque, Centro, Itacoatiara, Amazonas, Brazil, 69100-000, "
ComFlotAM,-3.1442066,-59.94934490000001,"2697, R. Marinheiro Greenhalgh, Vila Buriti, Manaus, Amazonas, Brazil, 69072-130, "
AgTefe,-3.3441587,-64.7068653,"287, Rua Duque de Caxias, Tefé, Amazonas, Brazil, 69470-000, "
DelFurnas,-20.6794319,-46.33459089999999,"288, Rua Lavras, Furnas, São José da Barra, Minas Gerais, Brazil, 37945-000, "
BHMN,-22.8836089,-43.1293569,"289-821, Rua Barão de Jaceguaí, Ponta D'areia, Niterói, Rio de Janeiro, Brazil, 24040-000, "
PNN,-22.8840502,-43.1298127,"289, Rua Barão de Jaceguaí, Ponta D'areia, Niterói, Rio de Janeiro, Brazil, 24040-000, "
EAMCE,-3.7177218,-38.5418448,"30, Avenida Filomeno Gomes, Jacarecanga, Fortaleza, Ceará, Brazil, 60010-280, "
EAMSC,-27.5781292,-48.5903638,"3028, Avenida Marinheiro Max Schramm, Jardim Atlântico, Florianópolis, Santa Catarina, Brazil, 88095-900, "
CMOpM,-22.8907284,-43.2426202,"315, Avenida Dom Hélder Câmara, Manguinhos, Rio de Janeiro, Rio de Janeiro, Brazil, 20911-291, "
LFM,-22.8906606,-43.242605,"315, Avenida Dom Hélder Câmara, Manguinhos, Rio de Janeiro, Rio de Janeiro, Brazil, 20911-291, "
3°BtlOpRib,-19.0089733,-57.5984886,"333, Rua Antônio João Assad, Setor 7, Ladário, Mato Grosso do Sul, Brazil, 79370-000, "
PNRG,-32.0327629,-52.0842296,"353, Rua Almirante Garnier, Vila Militar, Rio Grande, Rio Grande do Sul, Brazil, 96201-230, "
CPPB,-7.116822900000001,-34.8880763,"372, Rua Barão do Triunfo, Varadouro, João Pessoa, Paraíba, Brazil, 58010-400, "
AgSinop,-11.8360972,-55.4981535,"3782, Rua das Orquideas, Parque das Araras, Sinop, Mato Grosso, Brazil, 78550-404, "
CFPA,-30.0323041,-51.2371317,"386, Rua dos Andradas, Centro Histórico, Porto Alegre, Rio Grande do Sul, Brazil, 90020-000, "
DepSIMRJ,-22.8973334,-43.2477864,"390, Rua Doutor Garnier, Rocha, Rio de Janeiro, Rio de Janeiro, Brazil, 20975-000, "
CFPV,-8.764834,-63.906814,"395, Rua Henrique Dias, Centro, Porto Velho, Rondônia, Brazil, 78900-130, "
PNMa,-3.1334903,-59.9459514,"4, BR-319, Vila Buriti, Manaus, Amazonas, Brazil, 69075-840, "
DPC,-22.8995993,-43.1768589,"4, Rua Teófilo Otoni, Centro, Rio de Janeiro, Rio de Janeiro, Brazil, 20090-070, "
CPMA,-2.5279476,-44.3073232,"406, Avenida Senador Vitorino Freire, Centro, São Luís, Maranhão, Brazil, 65010-655, "
AgImperatriz,-5.5277574,-47.4869133,"41, Rua Coriolano Milhomem, Nova Imperatriz, Imperatriz, Maranhão, Brazil, 65907-170, "
AgGMirim,-10.7900413,-65.34398209999999,"418, Avenida 15 de Novembro, Setor 01, Guajará-Mirim, Rondônia, Brazil, 78957-000, "
CPAL,-9.6698958,-35.7274217,"44, Rua do Uruguai, Jaraguá, Maceió, Alagoas, Brazil, 57022-120, "
CPSC,-27.5955556,-48.5683763,"440, Rua Quatorze de Julho, Estreito, Florianópolis, Santa Catarina, Brazil, 88075-010, "
BtlLogFuzNav,-22.806278,-43.2911071,"4458, Avenida Trevo das Missões, Cordovil, Rio de Janeiro, Rio de Janeiro, Brazil, "
PNCG,-22.8655322,-43.5837801,"44878, Avenida Brasil, Campo Grande, Rio de Janeiro, Rio de Janeiro, Brazil, 23078-001, "
CIAMPA,-22.864129,-43.5808828,"44878, Avenida Brasil, Campo Grande, Rio de Janeiro, Rio de Janeiro, Brazil, 23078-001, "
EGN,-22.9547218,-43.1675726,"480, Avenida Pasteur, Urca, Rio de Janeiro, Rio de Janeiro, Brazil, 22290-240, "
CFGO,-16.6770627,-49.2560961,"49, Rua 2, Setor Central, Goiânia, Goiás, Brazil, 74013-020, "
CPCE,-3.7194762,-38.475988,"4917, Avenida Vicente de Castro, Mucuripe, Fortaleza, Ceará, Brazil, 60180-410, "
CeIMMa,-3.143169,-59.9481689,"520-598, Estrada de Acesso A Base Naval, Vila Buriti, Manaus, Amazonas, Brazil, 69072, "
CPPI,-2.8981425,-41.7727715,"530, Avenida Nações Unidas, Nossa Senhora do Carmo, Parnaíba, Piauí, Brazil, 64200-220, "
PNNSG,-22.9234184,-43.223553,"54, Rua Conde de Bonfim, Tijuca, Rio de Janeiro, Rio de Janeiro, Brazil, 20520-053, "
DelSSebastiao,-23.8061977,-45.4005829,"544, Avenida Doutor Altino Arantes, Centro, São Sebastião, São Paulo, Brazil, 11600-000, "
CPAOR,-1.4479153,-48.4971975,"575, Rua Gaspar Viana, Reduto, Belém, Pará, Brazil, 66053-090, "
CFJ,-9.4100275,-40.5110278,"606, Rua José Petitinga, Santo Antonio, Juazeiro, Bahia, Brazil, 48903-010, "
Com1°DN,-22.8966822,-43.1800199,"65, Praça Mauá, Centro, Rio de Janeiro, Rio de Janeiro, Brazil, 20081-240, "
CDU-1°DN,-22.8966822,-43.1800199,"65, Praça Mauá, Centro, Rio de Janeiro, Rio de Janeiro, Brazil, 20081-240, "
ERMCN,-22.710987,-42.0104522,"6618-6898, Rodovia Amaral Peixoto, Vila Colonial, Cabo Frio, Rio de Janeiro, Brazil, "
DepSMRJ,-22.8412293,-43.3026527,"682, Rua Tomás Lopes, Penha Circular, Rio de Janeiro, Rio de Janeiro, Brazil, 21221-210, "
Com5°DN,-32.0310398,-52.08279109999999,"70, Rua Marechal Andréia, Vila Militar, Rio Grande, Rio Grande do Sul, Brazil, 96201, "
CPPR,-25.517052,-48.5018025,"707, Rua Benjamin Constant, Centro Histórico, Paranaguá, Paraná, Brazil, 83203-190, "
DelLaguna,-28.4853108,-48.78284790000001,"72, Avenida Colombo Machado Sálless, Centro, Laguna, Santa Catarina, Brazil, 88790-000, "
CPSE,-10.9205884,-37.0462136,"752, Avenida Ivo do Prado, São José, Aracaju, Sergipe, Brazil, 49015-070, "
DelPirapora,-17.3496115,-44.9520061,"758, Avenida São Francisco, Centro, Pirapora, Minas Gerais, Brazil, 39270-050, "
CM,-23.6678173,-46.6947269,"760, Avenida Engenheiro Alberto de Zagottis, Jardim Anhanguera, São Paulo, São Paulo, Brazil, 04675-085, "
CFTP,-22.4996756,-48.5538593,"804, Avenida Pedro Ometto, Centro, Barra Bonita, São Paulo, Brazil, 17340-250, "
CFPN,-18.9979962,-57.6509835,"806, Rua Delamare, Centro, Corumbá, Mato Grosso do Sul, Brazil, 79301-020, "
ComForAerNav,-22.8248371,-42.0924915,"829-911, Rua Comandante Ituriel, Base Aeronaval, São Pedro da Aldeia, Rio de Janeiro, Brazil, 28940-000, "
CFMT,-15.5763272,-56.0590022,"850, Avenida Oátomo Canavarros, Morada do Ouro, Cuiabá, Mato Grosso, Brazil, 78050-568, "
CIAGA,-22.8370496,-43.2556682,"9020, Avenida Brasil, Olaria, Rio de Janeiro, Rio de Janeiro, Brazil, 21030-001, "
AgOiapoque,3.8492121,-51.8316159,"930-1012, Rua Joaquim Caetano da Silva, Oiapoque, Oiapoque, Amapá, Brazil, 68980-000, "
AgAracati,-4.5668846,-37.7734138,"955, Avenida Coronel Alexanzito, Centro, Aracati, Ceará, Brazil, 62800-000, "
NVAraçatuba,-21.206685,-50.438747,"Araçatuba, Araçatuba, State of São Paulo, Brazil, "
NPoAlteMaximiano,-22.896894555867775,-43.174479800000015,ARSENAL DE MARINHA DO RIO DE JANEIRO - S/N° - - CENTRO - RIO DE JANEIRO - RJ - BRASIL - 20091-000
DepMSMRJ,-22.9068467,-43.1728965,AV . BRASIL - S/N° - - OLARIA - RIO DE JANEIRO - RJ - BRASIL – 21012-350
AvHoFluCaravelas,-19.003885546238877,-57.595807871168645,AV 14 DE MARÇO - S/N° - - CENTRO - LADÁRIO - MS - BRASIL - 79370-000
BtlDefNBQR,-22.845648134844843,-43.10150362510014,AV PAIVA - S/N - ILHA DAS FLORES - NEVES - SÃO GONÇALO - RJ - BRASIL - 24426-148
Com6°DN,-19.004615650624423,-57.59797841539848,"Av. 14 de Março - St. 1, Ladário - MS, 79370-000"
NPaBenevente,-32.14018787736598,-52.10963199239183,AV. ALMIRANTE MAXIMIANO DA SILVA FONSECA - 2000 - KM 9 - 4º SEÇÃO DA BARRA - RIO GRANDE - RS - BRASIL – 96204-040
GptFNRG,-32.13963513766392,-52.11148742894873,AV. ALMIRANTE MAXIMIANO FONSECA - - KM 9 - CAIXA POSTAL 209 - 4ª SEÇÃO DA BARRA - RIO GRANDE - RS - BRASIL – 96204-040
RbAMTritao,-32.14018787736598,-52.10963199239183,AV. ALMIRANTE MAXIMIANO FONSECA - 2000 - - 4ª SEÇÃO DA BARRA - RIO GRANDE - RS - BRASIL - 96204-040
NPaBabitonga,-32.14018787736598,-52.10963199239183,AV. ALMIRANTE MAXIMIANO FONSECA - 2000 - - 4ª SEÇÃO DA BARRA - RIO GRANDE - RS - BRASIL – 96200-040
NApOcMearim,-32.14018787736598,-52.10963199239183,AV. ALMIRANTE MAXIMIANO FONSECA - 2000 - - 4ª SEÇÃO DA BARRA - RIO GRANDE - RS - BRASIL – 96204-040
CDU-BAMRJ,-22.8341648,-43.2613409,AV. BRASIL - 10.500 - - OLARIA - RIO DE JANEIRO - RJ - BRASIL – 21012-350
CDAM–Centro,-22.83185430659108,-43.25944495923486,AV. BRASIL - 10500 - - OLARIA - RIO DE JANEIRO - RJ - BRASIL - 21012-350
CDM,-22.83211052018131,-43.26457658543398,AV. BRASIL - 10500 - - OLARIA - RIO DE JANEIRO - RJ - BRASIL - 21012-350
BAMRJ,-22.8341648,-43.2613409,AV. BRASIL - 10500 - - OLARIA - RIO DE JANEIRO - RJ - BRASIL – 21012-350
CDefNBQR-MB,-22.8098864,-43.2956007,AV. BRASIL - 13476 - - PARADA DE LUCAS - RIO DE JANEIRO - RJ - BRASIL – 21010-076
BtlOpEspFuzNav,-22.863809058036757,-43.58007195997083,AV. BRASIL - 44878 - KM 45 - GUANDU DO SAPÊ - CAMPO GRANDE - RIO DE JANEIRO - RJ - BRASIL - 23078-000
CeIMPL,-22.8184513,-43.3030143,AV. BRASIL - Nº13.476 - - PARADA DE LUCAS - RIO DE JANEIRO - RJ - BRASIL – 21010-076
ENRG,-32.033083318417376,-52.07933866944614,AV. HONÓRIO BICALHO - S/N° - ANTIGO PORTÃO 9 - CENTRO - RIO GRANDE - RS - BRASIL - 96201-230
NHiBComteVarella,-32.033083318417376,-52.07933866944614,AV. HONÓRIO BICALHO - S/N° - ILHA DO TERRAPLENO DO LESTE - PORTAO 12 - CENTRO - RIO GRANDE - RS - BRASIL - 96200-000
SSN-5,-32.033083318417376,-52.07933866944614,AV. HONÓRIO BICALHO - S/N° - ILHA DO TERRAPLENO DO LESTE - PORTAO 12 - CENTRO - RIO GRANDE - RS - BRASIL - 96201-020
EsqdHU-51,-32.03324106806505,-52.07217637321028,AV. HONÓRIO BICALHO - S/N° - PORTÃO 12 - ILHA DO TERRAPLENO - RIO GRANDE - RS - BRASIL - 96209-030 
CiaPol,-22.84572820639793,-43.10141458979176,AV. PAIVA - S/N° - - NEVES - SÃO GONÇALO - RJ - BRASIL - 24611-970
DDNM,-23.564454794298967,-46.73916625944967,AV. PROFESSOR LINEU PRESTES - 2468 - CIDADE UNIVERSITÁRIA - BUTANTÃ - SÃO PAULO - SP - BRASIL - 05508-000
CeITMSP,-23.4720858,-46.6234219,AV. PROFESSOR LINEU PRESTES - 2468 - CIDADE UNIVERSITÁRIA - BUTANTÃ - SÃO PAULO - SP - BRASIL – 05508-000
